name	homepage	html_url	anvil	description	topics
GDSCN_Book_Statistics_for_Genomics_RNA-seq	https://jhudatascience.org/GDSCN_Book_Statistics_for_Genomics_RNA-seq/	https://github.com/jhudsl/GDSCN_Book_Statistics_for_Genomics_RNA-seq	TRUE	A set of lab modules for RNA-seq analysis	anvil
AnVIL_Book_Instructor_Guide	https://jhudatascience.org/AnVIL_Book_Instructor_Guide	https://github.com/jhudsl/AnVIL_Book_Instructor_Guide	TRUE	A guide for instructors using AnVIL for workshops, lessons, or courses.	anvil, education
GDSCN_Book_Statistics_for_Genomics_PCA	https://jhudatascience.org/GDSCN_Book_Statistics_for_Genomics_PCA/	https://github.com/jhudsl/GDSCN_Book_Statistics_for_Genomics_PCA	TRUE	A set of lab modules for PCA analysis	anvil
AnVIL_Template	https://jhudatascience.org/AnVIL_Template/	https://github.com/jhudsl/AnVIL_Template	TRUE	An OTTR spinoff template for creating AnVIL content	anvil, template
AnVIL_Book_Getting_Started	https://jhudatascience.org/AnVIL_Book_Getting_Started	https://github.com/jhudsl/AnVIL_Book_Getting_Started	TRUE	A guide for getting started using AnVIL 	anvil
GDSCN_Book_SARS_Galaxy_on_AnVIL	https://jhudatascience.org/GDSCN_Book_SARS_Galaxy_on_AnVIL/	https://github.com/jhudsl/GDSCN_Book_SARS_Galaxy_on_AnVIL	TRUE	Lab module and lectures for variant detection in SARS-CoV-2 using Galaxy	anvil, genomics, module
GDSCN_Book_Statistics_for_Genomics_scRNA-seq	http://jhudatascience.org/GDSCN_Book_Statistics_for_Genomics_SCRNA-seq/	https://github.com/jhudsl/GDSCN_Book_Statistics_for_Genomics_scRNA-seq	TRUE	A set of lab modules for single cell RNA-seq analysis	anvil
GDSCN_Book_Statistics_for_Genomics_Differential_Expression	https://jhudatascience.org/GDSCN_Book_Statistics_for_Genomics_Differential_Expression/	https://github.com/jhudsl/GDSCN_Book_Statistics_for_Genomics_Differential_Expression	TRUE	A set of lab modules for an introduction to differential gene expression	anvil
phylogenetic-techniques	https://jhudatascience.org/phylogenetic-techniques/	https://github.com/jhudsl/phylogenetic-techniques	TRUE	https://jhudatascience.org/phylogenetic-techniques/	anvil
